iter	RMSE
0	14.46500364
1	13.6588036
2	12.88259392
3	12.15322498
4	11.48175112
5	10.85960512
6	10.30583935
7	9.775609788
8	9.282821206
9	8.819109465
10	8.397392893
11	8.01075819
12	7.652330429
13	7.319648897
14	7.009064465
15	6.723524782
16	6.463941913
17	6.228124579
18	6.011259989
19	5.814833986
20	5.633651851
21	5.465452938
22	5.315184006
23	5.1793487
24	5.04447992
25	4.927756412
26	4.817525986
27	4.720319059
28	4.632672201
29	4.553591124
30	4.47863594
31	4.405099426
32	4.337355168
33	4.278917531
34	4.218894362
35	4.164830409
36	4.117302678
37	4.066243229
38	4.021213999
39	3.981818813
40	3.940434461
41	3.902896601
42	3.870519097
43	3.833967403
44	3.798785433
45	3.767470858
46	3.73751107
47	3.712140799
48	3.685466042
49	3.66147957
50	3.636378305
51	3.608356389
52	3.583649156
53	3.56162782
54	3.538279956
55	3.520586418
56	3.500337963
57	3.486285749
58	3.472340588
59	3.456126643
60	3.446981693
61	3.426963012
62	3.405481614
63	3.384796652
64	3.370034134
65	3.355791941
66	3.343851675
67	3.326330975
68	3.311602966
69	3.296459186
70	3.29084423
71	3.271788339
72	3.260345404
73	3.24567575
74	3.234132432
75	3.218875959
76	3.205651157
77	3.191650313
78	3.179714778
79	3.165980871
80	3.150939492
81	3.140911564
82	3.13198156
83	3.122930232
84	3.110388255
85	3.101013971
86	3.087896337
87	3.078887216
88	3.067440965
89	3.057710914
90	3.04594563
91	3.031802842
92	3.021358881
93	3.008314979
94	3.00235007
95	2.991122748
96	2.985183823
97	2.975575236
98	2.970226598
99	2.958875923
100	2.950898458
101	2.941330547
102	2.937294829
103	2.930432283
104	2.924584107
105	2.907308443
106	2.893018856
107	2.882127537
108	2.873976854
109	2.857189671
110	2.841478172
111	2.831246423
112	2.825633681
113	2.816984667
114	2.804727459
115	2.79727691
116	2.782757129
117	2.776673988
118	2.76364001
119	2.750313686
120	2.736253479
121	2.727761354
122	2.719542153
123	2.708296286
124	2.703577448
125	2.690351869
126	2.679122942
127	2.674197291
128	2.661780274
129	2.648211964
130	2.643695567
131	2.631420372
132	2.621457089
133	2.61012447
134	2.599817264
135	2.586881011
136	2.576020757
137	2.56288287
138	2.554080227
139	2.543977442
140	2.532168997
141	2.52832966
142	2.519333833
143	2.512929437
144	2.507310544
145	2.497601431
146	2.490455304
147	2.479040036
148	2.472429432
149	2.463245056
150	2.455557646
151	2.444788951
152	2.435223637
153	2.425823152
154	2.414627493
155	2.406711281
156	2.398572789
157	2.389591685
158	2.382939353
159	2.371931983
160	2.361816601
161	2.35660975
162	2.347836445
163	2.33891335
164	2.332035927
165	2.327706115
166	2.325289144
167	2.317815035
168	2.31178955
169	2.304807264
170	2.299203529
171	2.29361401
172	2.287094737
173	2.282821024
174	2.275318147
175	2.269726057
176	2.266094509
177	2.257539173
178	2.250287935
179	2.243501275
180	2.237725086
181	2.227408192
182	2.224015055
183	2.217484974
184	2.208551423
185	2.203681851
186	2.199469068
187	2.191122905
188	2.18474016
189	2.176470288
190	2.1672341
191	2.161945984
192	2.154213126
193	2.14703807
194	2.142332095
195	2.135259329
196	2.128856151
197	2.122780289
198	2.117501519
199	2.112546897
200	2.108466327
