iter	Passed	Remaining
0	8	8614
1	15	7865
2	21	7064
3	27	6847
4	33	6678
5	38	6368
6	42	6034
7	47	5867
8	51	5712
9	56	5583
10	60	5452
11	65	5370
12	68	5231
13	72	5104
14	76	5003
15	80	4945
16	84	4874
17	87	4793
18	91	4714
19	94	4652
20	98	4587
21	101	4530
22	105	4480
23	109	4442
24	113	4409
25	116	4362
26	120	4325
27	123	4290
28	127	4265
29	130	4230
30	134	4200
31	137	4163
32	140	4130
33	144	4112
34	148	4086
35	151	4065
36	155	4046
37	159	4030
38	162	4006
39	166	3986
40	169	3963
41	172	3945
42	176	3939
43	180	3923
44	184	3906
45	187	3890
46	191	3886
47	195	3882
48	199	3864
49	202	3851
50	205	3832
51	209	3824
52	213	3814
53	216	3800
54	220	3782
55	224	3776
56	227	3766
57	231	3754
58	234	3740
59	237	3728
60	241	3724
61	245	3712
62	248	3702
63	252	3689
64	255	3678
65	259	3670
66	262	3660
67	266	3651
68	269	3640
69	273	3631
70	276	3618
71	279	3608
72	283	3598
73	286	3586
74	290	3583
75	294	3583
76	298	3579
77	302	3574
78	306	3571
79	310	3566
80	313	3560
81	317	3553
82	320	3544
83	324	3542
84	328	3540
85	332	3533
86	336	3527
87	340	3530
88	344	3526
89	348	3521
90	351	3514
91	355	3511
92	359	3506
93	363	3499
94	366	3491
95	369	3482
96	373	3477
97	376	3469
98	380	3461
99	383	3453
100	387	3449
101	391	3445
102	395	3440
103	398	3435
104	402	3429
105	406	3429
106	410	3422
107	413	3415
108	416	3408
109	420	3404
110	424	3398
111	427	3391
112	431	3383
113	434	3374
114	438	3374
115	442	3369
116	445	3363
117	448	3355
118	452	3353
119	456	3348
120	460	3343
121	463	3336
122	466	3328
123	470	3326
124	474	3321
125	478	3315
126	481	3311
127	485	3309
128	489	3306
129	493	3301
130	496	3293
131	499	3286
132	503	3282
133	507	3278
134	510	3271
135	514	3265
136	517	3259
137	521	3256
138	525	3252
139	528	3246
140	531	3239
141	535	3234
142	538	3229
143	542	3224
144	545	3218
145	549	3212
146	552	3208
147	556	3202
148	559	3196
149	562	3189
150	566	3184
151	570	3181
152	574	3177
153	577	3172
154	580	3167
155	584	3163
156	588	3158
157	591	3153
158	595	3147
159	598	3142
160	602	3140
161	606	3135
162	609	3130
163	613	3124
164	616	3119
165	619	3114
166	622	3106
167	626	3101
168	629	3095
169	633	3092
170	637	3088
171	640	3082
172	643	3077
173	646	3071
174	650	3067
175	654	3062
176	657	3058
177	661	3054
178	664	3049
179	668	3046
180	672	3041
181	675	3035
182	678	3028
183	681	3024
184	685	3019
185	688	3014
186	692	3008
187	695	3003
188	699	3000
189	702	2995
190	706	2992
191	709	2986
192	713	2983
193	717	2980
194	721	2976
195	724	2971
196	728	2967
197	731	2963
198	735	2959
199	738	2954
200	741	2948
201	745	2943
202	749	2942
203	753	2938
204	756	2934
205	759	2928
206	763	2923
207	766	2920
208	770	2915
209	773	2911
210	777	2906
211	781	2904
212	785	2900
213	788	2896
214	792	2892
215	796	2889
216	799	2886
217	803	2882
218	807	2878
219	810	2873
220	814	2872
221	818	2868
222	822	2864
223	825	2859
224	829	2855
225	832	2851
226	835	2846
227	839	2842
228	842	2837
229	846	2834
230	850	2830
231	854	2828
232	857	2823
233	861	2819
234	864	2814
235	867	2809
236	871	2804
237	874	2799
238	878	2795
239	881	2791
240	885	2787
241	888	2783
242	892	2778
243	896	2776
244	899	2773
245	903	2768
246	906	2764
247	910	2760
248	914	2757
249	917	2753
250	921	2749
251	924	2744
252	928	2741
253	931	2737
254	935	2732
255	938	2727
256	941	2723
257	945	2720
258	949	2716
259	953	2712
260	956	2707
261	959	2702
262	963	2698
263	966	2694
264	970	2690
265	973	2686
266	977	2684
267	981	2682
268	985	2679
269	990	2676
270	994	2674
271	997	2670
272	1001	2666
273	1004	2662
274	1008	2659
275	1012	2656
276	1016	2652
277	1019	2648
278	1022	2643
279	1026	2640
280	1030	2635
281	1033	2632
282	1037	2627
283	1040	2623
284	1044	2621
285	1048	2616
286	1051	2613
287	1055	2608
288	1058	2604
289	1062	2601
290	1065	2596
291	1069	2592
292	1072	2588
293	1076	2585
294	1079	2580
295	1083	2576
296	1086	2571
297	1089	2566
298	1093	2563
299	1096	2559
300	1100	2555
301	1103	2550
302	1107	2546
303	1110	2542
304	1114	2539
305	1117	2534
306	1120	2530
307	1125	2528
308	1129	2526
309	1133	2522
310	1136	2518
311	1140	2514
312	1143	2510
313	1147	2506
314	1150	2502
315	1154	2499
316	1158	2496
317	1162	2493
318	1165	2488
319	1168	2484
320	1172	2480
321	1176	2476
322	1179	2471
323	1182	2467
324	1185	2462
325	1189	2458
326	1193	2455
327	1196	2451
328	1199	2447
329	1203	2442
330	1207	2439
331	1210	2435
332	1214	2431
333	1217	2427
334	1221	2423
335	1224	2420
336	1228	2416
337	1231	2412
338	1234	2407
339	1238	2404
340	1241	2399
341	1245	2395
342	1248	2391
343	1252	2388
344	1255	2384
345	1259	2380
346	1262	2376
347	1266	2372
348	1269	2368
349	1273	2364
350	1276	2359
351	1279	2355
352	1282	2351
353	1285	2346
354	1289	2342
355	1292	2338
356	1296	2334
357	1299	2330
358	1303	2326
359	1306	2323
360	1310	2319
361	1313	2315
362	1317	2311
363	1320	2307
364	1324	2304
365	1328	2300
366	1331	2296
367	1335	2292
368	1338	2289
369	1342	2285
370	1345	2280
371	1348	2276
372	1352	2273
373	1356	2270
374	1360	2267
375	1364	2263
376	1367	2260
377	1372	2258
378	1376	2254
379	1380	2251
380	1383	2248
381	1387	2244
382	1391	2241
383	1395	2238
384	1398	2233
385	1402	2231
386	1406	2228
387	1410	2224
388	1414	2221
389	1418	2218
390	1422	2215
391	1425	2211
392	1429	2207
393	1432	2203
394	1436	2200
395	1439	2196
396	1443	2192
397	1446	2188
398	1450	2185
399	1454	2182
400	1458	2178
401	1461	2173
402	1464	2169
403	1468	2166
404	1472	2162
405	1475	2159
406	1479	2155
407	1483	2152
408	1487	2148
409	1490	2144
410	1493	2140
411	1497	2136
412	1500	2133
413	1504	2128
414	1507	2124
415	1510	2120
416	1513	2116
