iter	RMSE
0	14.604477
1	13.87660286
2	13.19917566
3	12.57943506
4	11.99570545
5	11.44796164
6	10.95507296
7	10.49972171
8	10.08626493
9	9.679674083
10	9.317346505
11	8.988159835
12	8.683971075
13	8.407226481
14	8.147295731
15	7.914430798
16	7.70400292
17	7.506664774
18	7.322160353
19	7.158861626
20	7.012745462
21	6.872811422
22	6.751332516
23	6.631391325
24	6.526878537
25	6.437631004
26	6.354762128
27	6.283337743
28	6.214798284
29	6.149112691
30	6.092840279
31	6.043462572
32	5.992147965
33	5.954279004
34	5.914262768
35	5.879923761
36	5.849835957
37	5.820755746
38	5.795175499
39	5.772179666
40	5.747744478
41	5.726830138
42	5.70861098
43	5.692416095
44	5.676391012
45	5.663817002
46	5.650661634
47	5.638554772
48	5.628157853
49	5.61838122
50	5.609028615
51	5.601419577
52	5.595801708
53	5.588402848
54	5.582115413
55	5.576565722
56	5.571816753
57	5.568192589
58	5.563814772
59	5.560170165
60	5.55645832
61	5.552117965
62	5.549341582
63	5.545371861
64	5.541399946
65	5.538908248
66	5.536899642
67	5.534462508
68	5.531692488
69	5.530083362
70	5.528077326
71	5.525954415
72	5.523980379
73	5.522445726
74	5.520929339
75	5.518569438
76	5.517368568
77	5.516062186
78	5.513838645
79	5.513057738
80	5.511058263
81	5.509725782
82	5.508056377
83	5.507103978
84	5.505538177
85	5.504401572
86	5.50344327
87	5.502727068
88	5.502341851
89	5.501229846
90	5.500156706
91	5.4993677
92	5.497837867
93	5.496461539
94	5.496106661
95	5.495992757
96	5.494524039
97	5.493536013
98	5.492194424
99	5.490748543
100	5.490077676
101	5.489135627
102	5.488097771
103	5.487289492
104	5.486338537
105	5.485710148
106	5.484905994
107	5.483791377
108	5.483000116
109	5.481955625
110	5.481342169
111	5.480217272
112	5.479489353
113	5.478586688
114	5.477994174
115	5.477922075
116	5.477055238
117	5.476319408
118	5.475369601
119	5.474550009
120	5.473745283
121	5.473728359
122	5.473297155
123	5.472194989
124	5.471619241
125	5.470574339
126	5.470074528
127	5.468923253
128	5.468003788
129	5.467488372
130	5.467269791
131	5.466939286
132	5.466108549
133	5.465671881
134	5.465028755
135	5.464787073
136	5.463937851
137	5.463867664
138	5.46298819
139	5.462010362
140	5.460803637
141	5.459924749
142	5.459109145
143	5.458602283
144	5.457905887
145	5.456888527
146	5.456124
147	5.455649752
148	5.454926575
149	5.454312527
150	5.453432812
151	5.45276615
152	5.451930006
153	5.451254747
154	5.4508095
155	5.449988751
156	5.449358148
157	5.448885242
158	5.448192275
159	5.447644943
160	5.446593953
161	5.4458829
162	5.445401364
163	5.444765187
164	5.44415582
165	5.442982639
166	5.44212118
167	5.441850673
168	5.441738674
169	5.441361853
170	5.440640529
171	5.43970978
172	5.438788902
173	5.438044841
174	5.437872674
175	5.43698447
176	5.43608566
177	5.435290564
178	5.435071527
179	5.434512709
180	5.434283283
181	5.433636507
182	5.433016106
183	5.432192283
184	5.431561953
185	5.431251926
186	5.430831427
187	5.430369999
188	5.430344075
189	5.43027578
190	5.42994259
191	5.429572913
192	5.428605558
193	5.428024039
194	5.42697015
195	5.426416302
196	5.426144564
197	5.425360209
198	5.424594929
199	5.423919967
200	5.423662762
201	5.423059794
202	5.42247512
203	5.42156475
204	5.421514327
205	5.420920347
206	5.420275918
207	5.419802198
208	5.419029985
209	5.418645347
210	5.418099579
211	5.417606918
212	5.417161025
213	5.416594376
214	5.415752194
215	5.415243507
216	5.414625978
217	5.414290373
218	5.413966086
219	5.41330772
220	5.412901799
221	5.412656424
222	5.412172025
223	5.411778107
224	5.411643148
225	5.411215313
226	5.410505007
227	5.409762553
228	5.409121041
229	5.408499129
230	5.407941305
231	5.407395614
232	5.407001828
233	5.406410268
234	5.406046982
235	5.405536629
236	5.404991272
237	5.404930131
238	5.404321851
239	5.403688985
240	5.403132784
241	5.403064156
242	5.402593872
243	5.402059147
244	5.401302682
245	5.400577424
246	5.399899093
247	5.399535494
248	5.398942071
249	5.398449653
250	5.39789129
251	5.397387782
252	5.397318005
253	5.396563678
254	5.396552405
255	5.396086251
256	5.39578489
257	5.395270607
258	5.39473334
259	5.394410882
260	5.393694212
261	5.393449802
262	5.392820893
263	5.392258112
264	5.391365976
265	5.390731464
266	5.390629316
267	5.390163737
268	5.389775875
269	5.389006434
270	5.388505272
271	5.387691769
272	5.386941928
273	5.386483793
274	5.385829048
275	5.385492102
276	5.385201075
277	5.38503066
278	5.384973778
279	5.384397269
280	5.383875055
281	5.38335128
